"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","M","2010-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2011-01",4.9,
"AUT","HUR","TOT","PC_LF","M","2011-02",5.7,
"AUT","HUR","TOT","PC_LF","M","2011-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2011-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2011-05",5,
"AUT","HUR","TOT","PC_LF","M","2011-06",4.5,
"AUT","HUR","TOT","PC_LF","M","2011-07",4.5,
"AUT","HUR","TOT","PC_LF","M","2011-08",4.4,
"AUT","HUR","TOT","PC_LF","M","2011-09",4.4,
"AUT","HUR","TOT","PC_LF","M","2011-10",5.2,
"AUT","HUR","TOT","PC_LF","M","2011-11",5.4,
"AUT","HUR","TOT","PC_LF","M","2011-12",5.1,
"AUT","HUR","TOT","PC_LF","M","2012-01",4.4,
"AUT","HUR","TOT","PC_LF","M","2012-02",5.3,
"AUT","HUR","TOT","PC_LF","M","2012-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2012-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2012-05",5.2,
"AUT","HUR","TOT","PC_LF","M","2012-06",5.5,
"AUT","HUR","TOT","PC_LF","M","2012-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2012-08",5.7,
"AUT","HUR","TOT","PC_LF","M","2012-09",5.6,
"AUT","HUR","TOT","PC_LF","M","2012-10",5.3,
"AUT","HUR","TOT","PC_LF","M","2012-11",5.5,
"AUT","HUR","TOT","PC_LF","M","2012-12",5.3,
"AUT","HUR","TOT","PC_LF","M","2013-01",5.9,
"AUT","HUR","TOT","PC_LF","M","2013-02",5.6,
"AUT","HUR","TOT","PC_LF","M","2013-03",5.9,
"AUT","HUR","TOT","PC_LF","M","2013-04",5.4,
"AUT","HUR","TOT","PC_LF","M","2013-05",5.4,
"AUT","HUR","TOT","PC_LF","M","2013-06",5.4,
"AUT","HUR","TOT","PC_LF","M","2013-07",6,
"AUT","HUR","TOT","PC_LF","M","2013-08",5.7,
"AUT","HUR","TOT","PC_LF","M","2013-09",5.9,
"AUT","HUR","TOT","PC_LF","M","2013-10",5.8,
"AUT","HUR","TOT","PC_LF","M","2013-11",6,
"AUT","HUR","TOT","PC_LF","M","2013-12",5.8,
"AUT","HUR","TOT","PC_LF","M","2014-01",6.3,
"AUT","HUR","TOT","PC_LF","M","2014-02",5.7,
"AUT","HUR","TOT","PC_LF","M","2014-03",6.2,
"AUT","HUR","TOT","PC_LF","M","2014-04",5.5,
"AUT","HUR","TOT","PC_LF","M","2014-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2014-06",6.5,
"AUT","HUR","TOT","PC_LF","M","2014-07",6.2,
"AUT","HUR","TOT","PC_LF","M","2014-08",5.8,
"AUT","HUR","TOT","PC_LF","M","2014-09",6.3,
"AUT","HUR","TOT","PC_LF","M","2014-10",6.1,
"AUT","HUR","TOT","PC_LF","M","2014-11",6.1,
"AUT","HUR","TOT","PC_LF","M","2014-12",6.2,
"AUT","HUR","TOT","PC_LF","M","2015-01",5.9,
"AUT","HUR","TOT","PC_LF","M","2015-02",5.8,
"AUT","HUR","TOT","PC_LF","M","2015-03",6.1,
"AUT","HUR","TOT","PC_LF","M","2015-04",6.2,
"AUT","HUR","TOT","PC_LF","M","2015-05",6.3,
"AUT","HUR","TOT","PC_LF","M","2015-06",6.3,
"AUT","HUR","TOT","PC_LF","M","2015-07",6.2,
"AUT","HUR","TOT","PC_LF","M","2015-08",6,
"AUT","HUR","TOT","PC_LF","M","2015-09",6.4,
"AUT","HUR","TOT","PC_LF","M","2015-10",5.9,
"AUT","HUR","TOT","PC_LF","M","2015-11",6.7,
"AUT","HUR","TOT","PC_LF","M","2015-12",6.2,
"AUT","HUR","TOT","PC_LF","M","2016-01",6.6,
"AUT","HUR","TOT","PC_LF","M","2016-02",6.4,
"AUT","HUR","TOT","PC_LF","M","2016-03",6.1,
"AUT","HUR","TOT","PC_LF","M","2016-04",6.2,
"AUT","HUR","TOT","PC_LF","M","2016-05",6.8,
"AUT","HUR","TOT","PC_LF","M","2016-06",6.7,
"AUT","HUR","TOT","PC_LF","M","2016-07",6.7,
"AUT","HUR","TOT","PC_LF","M","2016-08",7,
"AUT","HUR","TOT","PC_LF","M","2016-09",6.6,
"AUT","HUR","TOT","PC_LF","M","2016-10",6.3,
"AUT","HUR","TOT","PC_LF","M","2016-11",6.2,
"AUT","HUR","TOT","PC_LF","M","2016-12",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-01",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-02",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-03",6,
"AUT","HUR","TOT","PC_LF","M","2017-04",5.8,
"AUT","HUR","TOT","PC_LF","M","2017-05",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-06",5.6,
"AUT","HUR","TOT","PC_LF","M","2017-07",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2017-09",6,
"AUT","HUR","TOT","PC_LF","M","2017-10",5.7,
"AUT","HUR","TOT","PC_LF","M","2017-11",5.9,
"AUT","HUR","TOT","PC_LF","M","2017-12",5.8,
"AUT","HUR","TOT","PC_LF","M","2018-01",5.7,
"AUT","HUR","TOT","PC_LF","M","2018-02",5.2,
"AUT","HUR","TOT","PC_LF","M","2018-03",5.2,
"AUT","HUR","TOT","PC_LF","M","2018-04",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-05",4.6,
"AUT","HUR","TOT","PC_LF","M","2018-06",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-08",5.4,
"AUT","HUR","TOT","PC_LF","M","2018-09",5.4,
"AUT","HUR","TOT","PC_LF","M","2018-10",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-11",4.7,
"AUT","HUR","TOT","PC_LF","M","2018-12",5.2,
"AUT","HUR","TOT","PC_LF","M","2019-01",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-02",5,
"AUT","HUR","TOT","PC_LF","M","2019-03",5,
"AUT","HUR","TOT","PC_LF","M","2019-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-05",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-06",4.6,
"AUT","HUR","TOT","PC_LF","M","2019-07",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2019-09",4.6,
"AUT","HUR","TOT","PC_LF","M","2019-10",5,
"AUT","HUR","TOT","PC_LF","M","2019-11",4.1,
"AUT","HUR","TOT","PC_LF","M","2019-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.3,
"AUT","HUR","TOT","PC_LF","M","2020-02",4.6,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2020-04",6,
"AUT","HUR","TOT","PC_LF","M","2020-05",7,
"AUT","HUR","TOT","PC_LF","M","2020-06",7.9,
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,
"AUT","HUR","TOT","PC_LF","M","2020-09",6.5,
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,
"AUT","HUR","TOT","PC_LF","M","2020-11",5.8,
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,
"AUT","HUR","TOT","PC_LF","M","2021-01",7.6,
"AUT","HUR","TOT","PC_LF","M","2021-02",7,
"AUT","HUR","TOT","PC_LF","M","2021-03",6.5,
"AUT","HUR","TOT","PC_LF","M","2021-04",7.2,
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,
"AUT","HUR","TOT","PC_LF","M","2021-07",6.1,
"AUT","HUR","TOT","PC_LF","M","2021-08",6.1,
"AUT","HUR","TOT","PC_LF","M","2021-09",4.9,
"AUT","HUR","TOT","PC_LF","M","2021-10",5.9,
"AUT","HUR","TOT","PC_LF","M","2021-11",5.1,
"AUT","HUR","TOT","PC_LF","M","2021-12",4.8,
"AUT","HUR","TOT","PC_LF","M","2022-01",4.7,
"AUT","HUR","TOT","PC_LF","M","2022-02",4.8,
"AUT","HUR","TOT","PC_LF","M","2022-03",4.2,
"AUT","HUR","TOT","PC_LF","M","2022-04",4.4,
"AUT","HUR","TOT","PC_LF","M","2022-05",4.7,
"AUT","HUR","TOT","PC_LF","M","2022-06",4.2,
"AUT","HUR","TOT","PC_LF","M","2022-07",4.6,
"AUT","HUR","TOT","PC_LF","M","2022-08",5.3,
"AUT","HUR","TOT","PC_LF","M","2022-09",5.2,
"AUT","HUR","TOT","PC_LF","M","2022-10",4.5,
"AUT","HUR","TOT","PC_LF","M","2022-11",5.5,
"AUT","HUR","TOT","PC_LF","M","2022-12",4.9,
"AUT","HUR","TOT","PC_LF","M","2023-01",5.1,
"AUT","HUR","TOT","PC_LF","M","2023-02",4.9,
"AUT","HUR","TOT","PC_LF","M","2023-03",4.5,
"AUT","HUR","TOT","PC_LF","M","2023-04",5.1,
"OECD","HUR","TOT","PC_LF","M","2001-01",6.455016,"E"
"OECD","HUR","TOT","PC_LF","M","2001-02",6.473809,"E"
"OECD","HUR","TOT","PC_LF","M","2001-03",6.474844,"E"
"OECD","HUR","TOT","PC_LF","M","2001-04",6.498285,"E"
"OECD","HUR","TOT","PC_LF","M","2001-05",6.519078,"E"
"OECD","HUR","TOT","PC_LF","M","2001-06",6.573339,"E"
"OECD","HUR","TOT","PC_LF","M","2001-07",6.650439,"E"
"OECD","HUR","TOT","PC_LF","M","2001-08",6.749601,"E"
"OECD","HUR","TOT","PC_LF","M","2001-09",6.79299,"E"
"OECD","HUR","TOT","PC_LF","M","2001-10",6.969621,"E"
"OECD","HUR","TOT","PC_LF","M","2001-11",7.045919,"E"
"OECD","HUR","TOT","PC_LF","M","2001-12",7.123271,"E"
"OECD","HUR","TOT","PC_LF","M","2002-01",7.135338,"E"
"OECD","HUR","TOT","PC_LF","M","2002-02",7.142301,"E"
"OECD","HUR","TOT","PC_LF","M","2002-03",7.146406,"E"
"OECD","HUR","TOT","PC_LF","M","2002-04",7.214316,"E"
"OECD","HUR","TOT","PC_LF","M","2002-05",7.189718,"E"
"OECD","HUR","TOT","PC_LF","M","2002-06",7.20989,"E"
"OECD","HUR","TOT","PC_LF","M","2002-07",7.23334,"E"
"OECD","HUR","TOT","PC_LF","M","2002-08",7.254928,"E"
"OECD","HUR","TOT","PC_LF","M","2002-09",7.241366,"E"
"OECD","HUR","TOT","PC_LF","M","2002-10",7.255521,"E"
"OECD","HUR","TOT","PC_LF","M","2002-11",7.28163,"E"
"OECD","HUR","TOT","PC_LF","M","2002-12",7.310511,"E"
"OECD","HUR","TOT","PC_LF","M","2003-01",7.290251,"E"
"OECD","HUR","TOT","PC_LF","M","2003-02",7.280869,"E"
"OECD","HUR","TOT","PC_LF","M","2003-03",7.318546,"E"
"OECD","HUR","TOT","PC_LF","M","2003-04",7.359042,"E"
"OECD","HUR","TOT","PC_LF","M","2003-05",7.392924,"E"
"OECD","HUR","TOT","PC_LF","M","2003-06",7.453044,"E"
"OECD","HUR","TOT","PC_LF","M","2003-07",7.380867,"E"
"OECD","HUR","TOT","PC_LF","M","2003-08",7.342392,"E"
"OECD","HUR","TOT","PC_LF","M","2003-09",7.359029,"E"
"OECD","HUR","TOT","PC_LF","M","2003-10",7.29156,"E"
"OECD","HUR","TOT","PC_LF","M","2003-11",7.268881,"E"
"OECD","HUR","TOT","PC_LF","M","2003-12",7.21543,"E"
"OECD","HUR","TOT","PC_LF","M","2004-01",7.290354,"E"
"OECD","HUR","TOT","PC_LF","M","2004-02",7.272926,"E"
"OECD","HUR","TOT","PC_LF","M","2004-03",7.316541,"E"
"OECD","HUR","TOT","PC_LF","M","2004-04",7.219594,"E"
"OECD","HUR","TOT","PC_LF","M","2004-05",7.207313,"E"
"OECD","HUR","TOT","PC_LF","M","2004-06",7.201091,"E"
"OECD","HUR","TOT","PC_LF","M","2004-07",7.183878,"E"
"OECD","HUR","TOT","PC_LF","M","2004-08",7.154979,"E"
"OECD","HUR","TOT","PC_LF","M","2004-09",7.128478,"E"
"OECD","HUR","TOT","PC_LF","M","2004-10",7.117059,"E"
"OECD","HUR","TOT","PC_LF","M","2004-11",7.08866,"E"
"OECD","HUR","TOT","PC_LF","M","2004-12",7.054421,"E"
"OECD","HUR","TOT","PC_LF","M","2005-01",6.928842,"E"
"OECD","HUR","TOT","PC_LF","M","2005-02",6.951389,"E"
"OECD","HUR","TOT","PC_LF","M","2005-03",6.902813,"E"
"OECD","HUR","TOT","PC_LF","M","2005-04",6.924738,"E"
"OECD","HUR","TOT","PC_LF","M","2005-05",6.911585,"E"
"OECD","HUR","TOT","PC_LF","M","2005-06",6.866379,"E"
"OECD","HUR","TOT","PC_LF","M","2005-07",6.817145,"E"
"OECD","HUR","TOT","PC_LF","M","2005-08",6.734484,"E"
"OECD","HUR","TOT","PC_LF","M","2005-09",6.781227,"E"
"OECD","HUR","TOT","PC_LF","M","2005-10",6.785907,"E"
"OECD","HUR","TOT","PC_LF","M","2005-11",6.741388,"E"
"OECD","HUR","TOT","PC_LF","M","2005-12",6.651159,"E"
"OECD","HUR","TOT","PC_LF","M","2006-01",6.588976,"E"
"OECD","HUR","TOT","PC_LF","M","2006-02",6.553477,"E"
"OECD","HUR","TOT","PC_LF","M","2006-03",6.491434,"E"
"OECD","HUR","TOT","PC_LF","M","2006-04",6.437028,"E"
"OECD","HUR","TOT","PC_LF","M","2006-05",6.331784,"E"
"OECD","HUR","TOT","PC_LF","M","2006-06",6.350621,"E"
"OECD","HUR","TOT","PC_LF","M","2006-07",6.332903,"E"
"OECD","HUR","TOT","PC_LF","M","2006-08",6.305687,"E"
"OECD","HUR","TOT","PC_LF","M","2006-09",6.221908,"E"
"OECD","HUR","TOT","PC_LF","M","2006-10",6.134654,"E"
"OECD","HUR","TOT","PC_LF","M","2006-11",6.124302,"E"
"OECD","HUR","TOT","PC_LF","M","2006-12",6.064125,"E"
"OECD","HUR","TOT","PC_LF","M","2007-01",6.055475,"E"
"OECD","HUR","TOT","PC_LF","M","2007-02",5.997073,"E"
"OECD","HUR","TOT","PC_LF","M","2007-03",5.941622,"E"
"OECD","HUR","TOT","PC_LF","M","2007-04",5.841246,"E"
"OECD","HUR","TOT","PC_LF","M","2007-05",5.805507,"E"
"OECD","HUR","TOT","PC_LF","M","2007-06",5.78103,"E"
"OECD","HUR","TOT","PC_LF","M","2007-07",5.806784,"E"
"OECD","HUR","TOT","PC_LF","M","2007-08",5.806489,"E"
"OECD","HUR","TOT","PC_LF","M","2007-09",5.841581,"E"
"OECD","HUR","TOT","PC_LF","M","2007-10",5.854389,"E"
"OECD","HUR","TOT","PC_LF","M","2007-11",5.778981,"E"
"OECD","HUR","TOT","PC_LF","M","2007-12",5.830174,"E"
"OECD","HUR","TOT","PC_LF","M","2008-01",5.831463,"E"
"OECD","HUR","TOT","PC_LF","M","2008-02",5.799789,"E"
"OECD","HUR","TOT","PC_LF","M","2008-03",5.853827,"E"
"OECD","HUR","TOT","PC_LF","M","2008-04",5.816028,"E"
"OECD","HUR","TOT","PC_LF","M","2008-05",5.946967,"E"
"OECD","HUR","TOT","PC_LF","M","2008-06",6.052755,"E"
"OECD","HUR","TOT","PC_LF","M","2008-07",6.144207,"E"
"OECD","HUR","TOT","PC_LF","M","2008-08",6.262285,"E"
"OECD","HUR","TOT","PC_LF","M","2008-09",6.322164,"E"
"OECD","HUR","TOT","PC_LF","M","2008-10",6.460115,"E"
"OECD","HUR","TOT","PC_LF","M","2008-11",6.777657,"E"
"OECD","HUR","TOT","PC_LF","M","2008-12",7.057355,"E"
"OECD","HUR","TOT","PC_LF","M","2009-01",7.382595,"E"
"OECD","HUR","TOT","PC_LF","M","2009-02",7.716624,"E"
"OECD","HUR","TOT","PC_LF","M","2009-03",8.013729,"E"
"OECD","HUR","TOT","PC_LF","M","2009-04",8.203576,"E"
"OECD","HUR","TOT","PC_LF","M","2009-05",8.389963,"E"
"OECD","HUR","TOT","PC_LF","M","2009-06",8.453,"E"
"OECD","HUR","TOT","PC_LF","M","2009-07",8.515122,"E"
"OECD","HUR","TOT","PC_LF","M","2009-08",8.578397,"E"
"OECD","HUR","TOT","PC_LF","M","2009-09",8.657689,"E"
"OECD","HUR","TOT","PC_LF","M","2009-10",8.681513,"E"
"OECD","HUR","TOT","PC_LF","M","2009-11",8.652557,"E"
"OECD","HUR","TOT","PC_LF","M","2009-12",8.608716,"E"
"OECD","HUR","TOT","PC_LF","M","2010-01",8.715159,"E"
"OECD","HUR","TOT","PC_LF","M","2010-02",8.673682,"E"
"OECD","HUR","TOT","PC_LF","M","2010-03",8.648767,"E"
"OECD","HUR","TOT","PC_LF","M","2010-04",8.693659,"E"
"OECD","HUR","TOT","PC_LF","M","2010-05",8.558856,"E"
"OECD","HUR","TOT","PC_LF","M","2010-06",8.461819,"E"
"OECD","HUR","TOT","PC_LF","M","2010-07",8.442778,"E"
"OECD","HUR","TOT","PC_LF","M","2010-08",8.409171,"E"
"OECD","HUR","TOT","PC_LF","M","2010-09",8.418244,"E"
"OECD","HUR","TOT","PC_LF","M","2010-10",8.439428,"E"
"OECD","HUR","TOT","PC_LF","M","2010-11",8.47646,"E"
"OECD","HUR","TOT","PC_LF","M","2010-12",8.347583,"E"
"OECD","HUR","TOT","PC_LF","M","2011-01",8.219979,"E"
"OECD","HUR","TOT","PC_LF","M","2011-02",8.1777,"E"
"OECD","HUR","TOT","PC_LF","M","2011-03",8.079509,"E"
"OECD","HUR","TOT","PC_LF","M","2011-04",8.099588,"E"
"OECD","HUR","TOT","PC_LF","M","2011-05",8.129976,"E"
"OECD","HUR","TOT","PC_LF","M","2011-06",8.15238,"E"
"OECD","HUR","TOT","PC_LF","M","2011-07",8.132874,"E"
"OECD","HUR","TOT","PC_LF","M","2011-08",8.11538,"E"
"OECD","HUR","TOT","PC_LF","M","2011-09",8.11587,"E"
"OECD","HUR","TOT","PC_LF","M","2011-10",8.092677,"E"
"OECD","HUR","TOT","PC_LF","M","2011-11",8.107839,"E"
"OECD","HUR","TOT","PC_LF","M","2011-12",8.098238,"E"
"OECD","HUR","TOT","PC_LF","M","2012-01",8.027816,"E"
"OECD","HUR","TOT","PC_LF","M","2012-02",8.132506,"E"
"OECD","HUR","TOT","PC_LF","M","2012-03",8.093073,"E"
